Município;Área KM2
Iguape;1978,795
Itapeva;1826,258
Itapetininga;1789,35
Eldorado;1654,256
Capão Bonito;1640,23
Rancharia;1587,498
Barretos;1566,161
Teodoro Sampaio;1555,803
São Paulo;1521,11
Botucatu;1482,642
Cunha;1407,25
Morro Agudo;1388,127
Piracicaba;1378,069
Santo Antônio do Aracanguá;1308,432
Presidente Epitácio;1260,281
Guaíra;1258,465
Martinópolis;1253,564
Mirante do Paranapanema;1238,931
Cananéia;1237,357
Avaré;1213,055
Buri;1195,91
Marília;1170,515
Araçatuba;1167,126
Iporanga;1152,059
São Carlos;1136,907
Santa Cruz do Rio Pardo;1114,747
Itaberá;1110,35
Brotas;1101,374
São José dos Campos;1099,409
Itaí;1082,782
Castilho;1065,318
Sete Barras;1062,699
Ibiúna;1058,082
Angatuba;1027,288
Paranapanema;1018,724
Barra do Turvo;1007,67
Itararé;1003,86
Araraquara;1003,625
Paraguaçu Paulista;1001,492
Miracatu;1001,484
Itápolis;996,747
Itatinga;979,817
Apiaí;974,322
Pereira Barreto;974,247
Agudos;966,708
Andradina;964,226
Guararapes;955,637
Novo Horizonte;931,743
São Miguel Arcanjo;930,339
Altinópolis;928,956
Cafelândia;920,28
Marabá Paulista;919,519
Mirandópolis;917,694
Casa Branca;864,225
José Bonifácio;860,2
Valparaíso;857,661
Mococa;855,156
Batatais;849,526
Natividade da Serra;833,372
Pirajuí;823,758
Miguelópolis;820,804
Juquiá;812,799
Mogi Guaçu;812,753
Paraibuna;809,576
Lençóis Paulista;809,541
Olímpia;802,555
Campinas;794,571
Pompeia;784,674
Promissão;779,2
Presidente Venceslau;755,203
Tapiraí;755,1
Santa Rita do Passa Quatro;754,141
Descalvado;753,706
Guaratinguetá;752,636
Presidente Bernardes;749,233
Tanabi;747,218
Piedade;746,868
Rosana;744,011
Paulo de Faria;737,986
Anhembi;736,557
São Pedro do Turvo;731,221
Pindamonhangaba;729,998
Pederneiras;728,735
Colômbia;728,648
Pirassununga;727,118
Registro;722,201
Pedregulho;712,604
Mogi das Cruzes;712,541
Penápolis;711,315
Ubatuba;708,105
Jaboticabal;706,602
Ituverava;704,659
Jacupiranga;704,189
Palestina;697,701
Ribeirão Branco;697,5
Boa Esperança do Sul;690,748
Ibitinga;689,391
Jaú;687,103
Bebedouro;683,192
Pilar do Sul;681,248
Getulina;676,755
Pedro de Toledo;670,44
Bauru;667,684
Cajuru;660,088
Bofete;653,541
Ilha Solteira;652,641
Quatá;651,341
Ribeirão Preto;650,916
São Manuel;650,734
Araras;644,831
Guaraci;641,501
Itu;640,719
Cardoso;639,248
Dois Córregos;632,972
Riolândia;631,897
Tupã;627,986
Taubaté?;625,003
São Luiz do Paraitinga;617,315
São Simão;617,252
Bananal;616,427
São Pedro;611,278
Taciba;607,266
Franca;605,679
Patrocínio Paulista;602,848
Itanhaém;601,711
Luiz Antônio;598,257
Cândido Mota;595,811
Iepê;594,974
Sud Mennucci;594,744
Taquaritinga;594,335
Junqueirópolis;582,565
Limeira;580,711
Euclides da Cunha Paulista;573,894
São José do Barreiro;570,685
Lins;570,058
Guaraçaí;569,197
Guareí;567,884
Itirapina;564,603
Tambaú;561,788
Presidente Prudente;560,637
Porto Feliz;556,706
Garça;555,807
Santo Anastácio;552,876
Borborema;552,256
Caiuá;551,159
Fernandópolis;549,797
Palmital;548,407
Iacanga;547,393
Avaí;540,689
Lavínia;537,675
Maracaí;533,498
Nova Granada;531,796
Birigui;530,031
Matão;524,899
Flórida Paulista;524,138
Tatuí;523,749
Juquitiba;522,169
Itapira;518,416
São João da Boa Vista;516,399
Echaporã;515,258
Bragança Paulista;512,584
Cerqueira César;511,621
Itaporanga;507,997
Arealva;504,973
Piraju;504,591
Itajobi;502,066
Jardinópolis;501,87
Rio Claro;498,422
Mogi Mirim;497,708
Monte Aprazível;495,559
General Salgado;494,376
Bertioga;491,546
Dracena;487,688
Caraguatatuba;484,947
Campos Novos Paulista;484,199
Piquerobi;482,769
Atibaia;478,521
Pirapozinho;477,675
Lutécia;475,226
Aguaí;474,554
Ribeirão Bonito;471,553
Igarapava;468,246
Caconde;468,215
Ipuã;466,461
Conchas;466,12
Jacareí;464,272
Guarantã;461,746
Assis;460,609
Sandovalina;455,856
Cajati;454,436
Sorocaba;450,382
Socorro;449,029
Taquarituba;448,515
Amparo;445,323
Bariri;444,405
Cosmorama;441,68
Nhandeara;436,159
Auriflama;434,498
São José do Rio Preto;431,944
Jundiaí;431,207
Pitangueiras;430,638
Fartura;429,171
Salesópolis;424,997
Colina;422,303
Votuporanga;420,703
São José do Rio Pardo;419,684
João Ramalho;415,452
Silveiras;414,782
Lorena;414,16
Guatapará;413,567
Adamantina;411,987
São Joaquim da Barra;410,863
Reginópolis;410,406
São Bernardo do Campo;409,532
Guapiara;408,292
Itapirapuã Paulista;406,478
Barra do Chapéu;405,681
Águas de Santa Bárbara;404,463
Tietê;404,396
Sertãozinho;403,089
Leme;402,871
Piratininga;402,409
São Sebastião;402,395
Iaras;401,381
Espírito Santo do Pinhal;389,235
Riversul;385,878
Piracaia;385,568
Nova Campina;385,375
Cristais Paulista;385,23
Laranjal Paulista;384,274
Joanópolis;374,291
Paulicéia;374,091
Caçapava;368,99
Tabatinga;368,604
Jales;368,574
Parapuã;366,663
Herculândia;364,252
Bocaina;363,926
Santa Isabel;363,332
Álvares Florence;362,411
Icém;362,355
Guará;362,183
Pariquera-Açu;359,414
Rinópolis;358,481
Narandiba;357,326
Pontal;356,371
Panorama;356,05
Gália;355,914
Sarapuí;352,592
Nuporanga;348,265
Borebi;347,989
Álvares Machado;347,647
Monte Alto;346,95
Ilhabela;346,389
Tabapuã;345,792
Potirendaba;342,492
Pacaembu;339,375
Avanhandava;338,37
Ribeira;335,748
Ribeirão Grande;333,363
Monteiro Lobato;332,742
Suzanápolis;330,587
Santa Adélia;330,269
Macedônia;327,567
Platina;327,48
Buritama;326,921
Nazaré Paulista;326,254
Peruíbe;326,216
Analândia;325,953
Guapiaçu;325,126
Cotia;323,994
Urupês;323,916
Capivari;322,878
Itatiba;322,276
Iacri;321,948
Anhumas;320,84
Mairiporã;320,697
Zacarias;319,056
Quintana;318,937
Palmeira d'Oeste;318,74
Guarulhos;318,675
Alto Alegre;318,574
Biritiba Mirim;317,406
Rincão;316,639
Populina;315,938
Torrinha;315,266
Lucélia;314,81
Altair;313,007
Magda;312,282
Indaiatuba;311,545
Cravinhos;311,423
Santo Antônio da Alegria;310,338
Redenção da Serra;309,441
Sales;308,555
São Roque;306,908
Sales Oliveira;305,776
Cruzeiro;305,699
Sabino;305,285
Areias;305,227
Coronel Macedo;303,83
Tarumã;302,913
Bento de Abreu;301,687
Itapura;301,653
Ocauçu;301,036
Estrela d'Oeste;296,281
Tejupá;296,189
Ourinhos;295,818
Santa Cruz das Palmeiras;295,337
Igaratá;292,953
Orlândia;291,765
Ibaté;290,978
Catanduva;290,596
Campos do Jordão;290,52
Planalto;289,825
Ouroeste;288,648
Santa Rosa de Viterbo;288,576
Cachoeira Paulista;287,99
Nantes;286,647
Presidente Alves;286,642
Arandu;285,908
Serra Azul;283,144
Ubirajara;282,179
Santos;281,033
Salto de Pirapora;280,509
Indiaporã;279,606
Corumbataí;278,622
Brodowski;278,458
Guaiçara;277,154
São José da Bela Vista;276,952
Itariri;273,667
Jaborandi;273,438
Glicério;272,8
Santa Albertina;272,692
Santa Branca;272,238
Ibirá;271,912
Santa Bárbara d'Oeste;271,03
Guararema;270,816
Guariba;270,289
Vargem Grande do Sul;267,178
Ouro Verde;266,778
Buritizal;266,42
Porangaba;265,689
Nova Independência;265,029
Estrela do Norte;264,987
Arco-Íris;264,904
Duartina;264,557
Monte Azul Paulista;263,462
Regente Feijó;263,28
Cabreúva;260,234
Pedranópolis;260,101
Irapuã;257,612
Paulistânia;256,178
Lagoinha;255,472
Araçoiaba da Serra;255,327
Caiabu;253,352
Américo de Campos;252,876
Santa Maria da Serra;252,621
São Bento do Sapucaí;252,579
Guzolândia;252,477
Uchoa;252,434
São Sebastião da Grama;252,41
Murutinga do Sul;250,873
Queluz;249,399
Boituva;248,954
Macaubal;248,087
Osvaldo Cruz;248,038
Vera Cruz;247,716
Orindiúva;247,378
Coroados;246,825
Restinga;245,746
Porto Ferreira;244,906
Tupi Paulista;244,77
Bernardino de Campos;244,158
Gavião Peixoto;243,766
Mirassol;243,228
Onda Verde;242,946
Rubineia;242,877
Monte-Mor;240,566
Cabrália Paulista;239,974
Rubiácea;236,484
Queiroz;234,914
Monte Castelo;233,547
Piacatu;232,488
Taquarivaí;231,792
Itaju;230,355
Manduri;229,046
Motuca;228,7
Ibirarema;228,23
Meridiano;228,199
Rio das Pedras;226,657
Florínea;225,886
Emilianópolis;225,167
Flora Rica;224,711
Macatuba;224,514
Divinolândia;223,749
Pereiras;223,136
Oscar Bressane;222,13
Tapiratiba;221,891
Terra Roxa;221,541
Neves Paulista;219,05
Oriente;218,668
Guaimbê;217,811
Viradouro;217,726
Nova Aliança;217,515
Pontes Gestal;217,505
Mira Estrela;216,825
Pirangi;215,809
Irapuru;214,461
Mineiros do Tietê;213,242
Adolfo;211,055
Mairinque;210,149
Pardinho;209,894
Ubarana;209,861
Santa Rita d'Oeste;209,8
Ipaussu;209,554
Pontalinda;209,525
Urânia;209,262
Jarinu;207,549
Santa Fé do Sul;206,537
Suzano;206,236
Dourado;205,874
Quadra;205,672
Barbosa;205,212
Floreal;204,236
Serra Negra;203,736
Ribeirão do Sul;203,208
Aramina;202,829
Elias Fausto;202,36
Tarabai;201,385
Itupeva;200,816
Óleo;198,938
Cedral;197,838
Timburi;196,79
Ilha Comprida;196,567
Ribeirão dos Índios;196,446
Braúna;195,176
Mendonça;195,151
Espírito Santo do Turvo;193,666
Cássia dos Coqueiros;191,683
Tremembé;191,094
Cesário Lange;190,392
Ipeúna;190,01
Lucianópolis;189,536
Chavantes;188,732
Salto Grande;188,441
Mariápolis;186,544
São Lourenço da Serra;186,456
Campina do Monte Alegre;185,031
Pindorama;184,825
Jambeiro;184,413
Votorantim;183,517
Santa Clara d'Oeste;183,458
Pongaí;183,399
Nova Castilho;183,396
Itaoca;183,015
Conchal;182,793
Gastão Vidigal;180,569
Santana de Parnaíba;179,949
Aparecida d'Oeste;179,004
São João de Iracema;178,396
Artur Nogueira;178,026
Cajobi;176,929
Piquete;175,996
Charqueada;175,846
Santo André;175,782
Pratânia;175,1
Salmourão;172,934
Bastos;170,912
Iperó;170,289
Fernando Prestes;169,99
Capela do Alto;169,89
Clementina;168,59
Sebastianópolis do Sul;167,848
Pradópolis;167,378
Lavrinhas;167,067
Santa Mercedes;166,753
Luiziânia;166,576
Mirassolândia;166,125
Rifaina;162,508
Itirapuã;161,118
Nova Europa;160,25
Alambari;159,6
Pedra Bela;158,587
Bilac;158,025
Arapeí;156,903
Embu-Guaçu;155,641
Paraíso;155,186
Lupércio;155,171
Cosmópolis;154,665
Pinhalzinho;154,53
Santo Antônio de Posse;154,133
Santa Lúcia;154,033
Álvaro de Carvalho;153,662
Sumaré;153,465
Turiúba;153,235
Barão de Antonina;153,142
Pedrinhas Paulista;152,309
Três Fronteiras;151,594
Itapecerica da Serra;150,742
Santa Cruz da Conceição;150,13
Barra Bonita;150,121
Bálsamo;149,881
Valentim Gentil;149,741
Dobrada;149,729
Cruzália;149,33
Praia Grande;149,253
Mesópolis;148,636
Valinhos;148,538
Catiguá;148,393
Ribeirão Corrente;148,332
São Vicente;148,1
Santa Cruz da Esperança;148,062
Sagres;147,935
Turmalina;147,797
Uru;146,901
Morungaba;146,752
Barrinha;146,025
Taguaí;145,332
Araçariguama;145,204
Jaci;145,133
Guarujá;144,794
Mongaguá;143,205
Águas da Prata;142,961
Cubatão;142,879
Vargem;142,597
Jeriquara;141,971
Sarutaiá;141,608
Jaguariúna;141,391
Severínia;140,46
Paranapuã;140,354
Itapuí;140,023
Itobi;138,986
Paulínia;138,777
Gabriel Monteiro;138,681
Nipoã;137,609
Cordeirópolis;137,579
Ipiguá;136,028
Poloni;135,12
Santa Ernestina;134,421
Americana;133,912
Mombuca;133,698
Bom Sucesso de Itararé;133,578
Salto;133,057
Santo Antônio do Pinhal;133,008
Franco da Rocha;132,775
Ariranha;132,624
Taiuva;132,459
Cajamar;131,386
Roseira;130,654
Santana da Ponte Pensa;129,888
São João das Duas Pontes;129,462
Indiana;129,367
Júlio Mesquita;128,183
Santópolis do Aguapeí;128,026
Cerquilho;127,803
Tuiuti;126,731
Serrana;126,046
Nova Canaã Paulista;124,473
Américo Brasiliense;122,785
Boraceia;122,11
Rafard;121,645
Aparecida;121,076
Borá;118,951
Alfredo Marcondes;118,915
Novais;117,772
São João do Pau-d'Alho;117,665
Iracemápolis;115,118
Lourdes;113,94
Dumont;111,376
Marapoama;111,267
Bady Bassitt;110,372
Monte Alegre do Sul;110,306
Santo Antônio do Jardim;109,956
Engenheiro Coelho;109,941
Pedreira;108,817
Pirapora do Bom Jesus;108,489
Bom Jesus dos Perdões;108,366
Taiaçu;107,059
Brejo Alegre;105,689
Monções;104,352
Fernão;100,504
Saltinho;99,738
Ribeirão Pires;99,075
Santa Gertrudes;98,291
Igaraçu do Tietê;97,747
Caieiras;97,642
Arujá;96,167
Vista Alegre do Alto;95,429
Santo Expedito;94,465
Elisiário;93,98
Balbinos;91,635
Dirce Reis;88,133
Inúbia Paulista;87,119
Areiópolis;85,907
Guarani d'Oeste;85,7
Alvinlândia;84,879
Parisi;84,737
Alumínio;83,66
Embaúba;83,129
Itapevi;82,658
Itaquaquecetuba;82,622
Palmares Paulista;82,125
Vinhedo;81,604
Campo Limpo Paulista;79,403
Santa Salete;79,192
União Paulista;79,056
Dolcinópolis;77,939
Marinópolis;77,827
São Francisco;75,579
Estiva Gerbi;74,144
Nova Luzitânia;73,816
Nova Odessa;73,788
Torre de Pedra;71,348
Cândido Rodrigues;70,892
Embu das Artes;70,398
Aspásia;69,373
Barueri;65,701
Holambra;65,577
Osasco;64,954
Trabiju;63,421
Pracinha;63,054
Hortolândia;62,416
Mauá;61,909
Águas de Lindóia;60,126
Canitar;57,459
Jumirim;56,685
Louveira;55,133
Taquaral;53,892
Canas;53,261
Vitória Brasil;49,832
Francisco Morato;49,001
Lindoia;48,756
Potim;44,468
Vargem Grande Paulista;42,489
Rio Grande da Serra;36,341
Várzea Paulista;35,12
Carapicuíba;34,546
Nova Guataporanga;34,158
Diadema;30,732
Ferraz de Vasconcelos;29,564
Taboão da Serra;20,388
Jandira;17,449
Poá;17,264
São Caetano do Sul;15,331
Águas de São Pedro;3,612
