Município;IFDM
São José do Rio Preto;0,9046
Indaiatuba;0,9009
São Caetano do Sul;0,9006
Vinhedo;0,8994
Votuporanga;0,8914
Paraguaçu Paulista;0,8907
Jundiaí;0,8892
Santos;0,8846
Araraquara;0,8839
Itupeva;0,8823
Barueri;0,8795
Santana de Parnaíba;0,8794
São João da Boa Vista;0,8782
Ariranha;0,8763
Franca;0,8754
Amparo;0,8748
Marília;0,873
Ribeirão Preto;0,8716
São Carlos;0,8702
Mendonça;0,87
Matão;0,8696
Atibaia;0,8692
Santo André;0,8688
Botucatu;0,8669
Barretos;0,8638
Vista Alegre do Alto;0,8635
Itatiba;0,863
Pompeia;0,8627
Mococa;0,8626
José Bonifácio;0,8625
Jaguariúna;0,8622
Mogi Mirim;0,8616
Bebedouro;0,8614
Americana;0,8614
Cerquilho;0,8588
Bauru;0,8584
Sertãozinho;0,8584
Araras;0,858
Itapira;0,8579
Catanduva;0,8578
Bragança Paulista;0,857
Pratânia;0,856
Junqueirópolis;0,856
Presidente Prudente;0,855
Olímpia;0,8548
Piracicaba;0,8548
Santa Fé do Sul;0,8543
Valinhos;0,8535
Fernando Prestes;0,853
Arujá;0,8519
Sorocaba;0,8516
Limeira;0,8515
São José do Rio Pardo;0,8509
Boituva;0,8508
Potirendaba;0,8502
São Paulo;0,8492
Pedreira;0,8478
Pederneiras;0,8466
Onda Verde;0,846
Iracemápolis;0,8451
Louveira;0,845
Novo Horizonte;0,8449
Cravinhos;0,8448
Itu;0,8447
Jarinu;0,8447
Santa Cruz da Conceição;0,8443
Meridiano;0,8437
Tatuí;0,8435
Cedral;0,8434
Cosmorama;0,8432
Pirassununga;0,8432
Taguaí;0,8426
Vargem Grande Paulista;0,8422
Fartura;0,8419
Campinas;0,8418
São Bernardo do Campo;0,8418
Nova Odessa;0,8417
Jaboticabal;0,8417
Ribeirão Pires;0,8415
Mogi Guaçu;0,8414
Cabreúva;0,8404
Lençóis Paulista;0,8399
Rio Claro;0,8398
Guarulhos;0,8389
Santa Gertrudes;0,8386
Cajamar;0,8377
Jardinópolis;0,8369
Mogi das Cruzes;0,8367
Paraíso;0,8367
Cotia;0,8364
Jales;0,8355
Ibitinga;0,8336
Saltinho;0,8336
Birigui;0,833
Itápolis;0,8323
Monte Alto;0,8321
Fernandópolis;0,8321
Borá;0,8319
Águas de Lindóia;0,8315
Clementina;0,8311
Araçatuba;0,8305
Descalvado;0,8301
Porto Feliz;0,8293
Salto;0,8292
Santa Clara d'Oeste;0,829
Caieiras;0,8284
Tietê;0,8284
Boraceia;0,8282
Leme;0,8282
Ilhabela;0,8282
Diadema;0,8281
Cordeirópolis;0,8275
Ibaté;0,8274
Ourinhos;0,8272
Guaíra;0,827
Osasco;0,8264
Colina;0,8246
Brejo Alegre;0,824
Caçapava;0,8234
Américo Brasiliense;0,8232
Palestina;0,8226
Mirante do Paranapanema;0,8225
Bastos;0,8218
Brotas;0,8214
Bocaina;0,8212
Santa Bárbara d'Oeste;0,8212
Sandovalina;0,8211
Nova Independência;0,8209
Suzanápolis;0,8205
Águas de São Pedro;0,8198
Palmital;0,8197
Monções;0,8196
Mirassol;0,8183
Gavião Peixoto;0,8182
Hortolândia;0,8179
Assis;0,8177
Santo Antônio do Aracanguá;0,8171
Iacanga;0,8165
Santa Cruz do Rio Pardo;0,8165
Taquaral;0,8161
São Roque;0,816
Capivari;0,8157
Bertioga;0,8157
Santo Antônio do Jardim;0,8153
Elias Fausto;0,8151
Tarumã;0,815
Batatais;0,8141
Cubatão;0,8126
Pardinho;0,8124
Embu das Artes;0,8122
Ouroeste;0,812
Piacatu;0,8118
Pradópolis;0,8116
Guaratinguetá;0,8114
Conchal;0,8111
Regente Feijó;0,811
Orindiúva;0,8105
Taboão da Serra;0,8102
Bom Jesus dos Perdões;0,8101
Guararema;0,8093
Casa Branca;0,8089
Nova Europa;0,8088
Serra Negra;0,8088
Ipeúna;0,8079
Santo Antônio de Posse;0,8077
Dourado;0,8076
Avaré;0,807
Itapetininga;0,807
São José dos Campos;0,806
Fernão;0,8056
Jambeiro;0,8055
Caraguatatuba;0,8049
Pontes Gestal;0,8048
Lucélia;0,8043
Álvares Florence;0,8042
Votorantim;0,8035
Itapeva;0,8032
Porto Ferreira;0,8029
Jandira;0,8028
Jumirim;0,8019
Holambra;0,8019
Planalto;0,8017
São Manuel;0,8011
Macatuba;0,801
Morro Agudo;0,8008
Santa Isabel;0,8008
Paulínia;0,8005
Cândido Mota;0,8004
Altinópolis;0,8002
Garça;0,8
;
Andradina;0,7995
Tanabi;0,7991
Rancharia;0,7986
Zacarias;0,7982
Várzea Paulista;0,7981
Buritizal;0,7977
Jaú;0,7976
São Lourenço da Serra;0,7975
Ubarana;0,797
Guararapes;0,7968
Cruzeiro;0,7967
Teodoro Sampaio;0,7963
Barra Bonita;0,7963
Bilac;0,7957
Registro;0,7956
Gabriel Monteiro;0,7954
Tupã;0,7952
Pereira Barreto;0,795
Turmalina;0,795
Taquaritinga;0,795
Corumbataí;0,7948
Santa Salete;0,7947
Lins;0,794
Taquarituba;0,7939
Bálsamo;0,793
Itanhaém;0,7928
Praia Grande;0,7928
Santa Albertina;0,7923
São Sebastião;0,7922
Narandiba;0,792
Ilha Comprida;0,7918
Itapevi;0,7915
Suzano;0,7912
Estrela d'Oeste;0,7909
Echaporã;0,7909
Ipiguá;0,7908
Penápolis;0,7906
Laranjal Paulista;0,7904
Luís Antônio;0,7898
Taubaté;0,7896
Guapiaçu;0,7892
Pereiras;0,789
Monteiro Lobato;0,789
Itatinga;0,7888
Ituverava;0,7887
Nazaré Paulista;0,7885
Aparecida;0,7884
Itajobi;0,7879
Aspásia;0,7873
Bady Bassitt;0,7872
Cândido Rodrigues;0,7871
Sumaré;0,7869
Valentim Gentil;0,7869
Trabiju;0,7866
Poá;0,7864
Monte Azul Paulista;0,7863
Osvaldo Cruz;0,7858
Quatá;0,7853
Campo Limpo Paulista;0,7849
Angatuba;0,7844
Mairiporã;0,7841
Ribeirão do Sul;0,7841
Carapicuíba;0,7839
Adolfo;0,7836
Guaraci;0,7832
Adamantina;0,7827
Glicério;0,7827
Rio das Pedras;0,7825
Pontal;0,7822
Itirapina;0,7821
Santa Maria da Serra;0,782
Lindóia;0,7819
Dumont;0,7817
Pindamonhangaba;0,7816
Colômbia;0,7816
Orlândia;0,7814
Mairinque;0,7813
Socorro;0,7807
Queiroz;0,7806
Torre de Pedra;0,7799
Igaratá;0,7798
Ubirajara;0,7797
Artur Nogueira;0,7795
Rafard;0,7794
Santópolis do Aguapeí;0,7787
Pirapozinho;0,7776
Tabatinga;0,7773
Parisi;0,777
Guarujá;0,7769
Roseira;0,7767
Marapoama;0,7763
Promissão;0,7762
Cássia dos Coqueiros;0,7761
Vargem Grande do Sul;0,7761
Santa Lúcia;0,7755
Nova Campina;0,7753
Sud Mennucci;0,775
Espírito Santo do Pinhal;0,7743
Santa Rita d'Oeste;0,7741
Dracena;0,7741
Ubatuba;0,7738
Lucianópolis;0,7735
São Joaquim da Barra;0,773
Embaúba;0,7729
Nova Guataporanga;0,7728
Inúbia Paulista;0,7728
Rinópolis;0,7725
Anhembi;0,7724
Bariri;0,7721
Jaci;0,772
Campos do Jordão;0,7714
Jacupiranga;0,771
Elisiário;0,771
Agudos;0,7705
São Sebastião da Grama;0,7703
Auriflama;0,77
Brodowski;0,7699
Embu-Guaçu;0,7695
Nantes;0,7689
Nova Aliança;0,7687
Patrocínio Paulista;0,768
Arealva;0,7678
Pilar do Sul;0,7677
Icém;0,7676
São Miguel Arcanjo;0,7672
Pirapora do Bom Jesus;0,7671
Itapuí;0,767
São Vicente;0,7669
Capão Bonito;0,7667
Pracinha;0,7666
Macaubal;0,7665
Paranapanema;0,7656
Guariba;0,7655
Mineiros do Tietê;0,7654
Juquitiba;0,7654
Pedrinhas Paulista;0,7653
Franco da Rocha;0,7643
Rubineia;0,7637
Tapiratiba;0,763
Santa Cruz das Palmeiras;0,7626
Mauá;0,7622
Jacareí;0,7618
Igarapava;0,7614
Peruíbe;0,7612
Borebi;0,7611
Itararé;0,7604
Joanópolis;0,7602
Campos Novos Paulista;0,7601
Cristais Paulista;0,7601
Mirassolândia;0,7594
Santa Branca;0,7589
Borborema;0,7588
Buri;0,7582
Dolcinópolis;0,7573
Alfredo Marcondes;0,7561
Nuporanga;0,7553
Urupês;0,7548
Pinhalzinho;0,7542
Bernardino de Campos;0,7542
Cachoeira Paulista;0,7541
Américo de Campos;0,7538
Serrana;0,7537
Severínia;0,7537
Ribeirão Corrente;0,7536
Piracaia;0,7531
Urânia;0,7529
Morungaba;0,7523
Cosmópolis;0,7512
Lorena;0,7507
Ocauçu;0,7501
Mongaguá;0,75
Guareí;0,7494
Avaí;0,7492
Salto de Pirapora;0,7491
Altair;0,7491
Nova Castilho;0,7483
Pauliceia;0,7479
Monte Alegre do Sul;0,7478
Tupi Paulista;0,7476
Alto Alegre;0,7474
Nova Granada;0,7472
Catiguá;0,7472
Ilha Solteira;0,7471
Itaí;0,7471
Monte Mor;0,747
São Pedro do Turvo;0,7467
Tarabai;0,7467
Pitangueiras;0,7466
Cesário Lange;0,7463
Pindorama;0,7463
Mira Estrela;0,7462
Motuca;0,7461
Presidente Venceslau;0,7461
Divinolândia;0,746
Araçoiaba da Serra;0,7457
Uchoa;0,7457
Santo Antônio da Alegria;0,7455
Quintana;0,7455
Charqueada;0,7451
Guatapará;0,745
Buritama;0,7438
Monte Castelo;0,7434
Canitar;0,7433
Araçariguama;0,7433
Neves Paulista;0,743
Sales Oliveira;0,743
Tabapuã;0,743
Boa Esperança do Sul;0,7424
Indiaporã;0,7422
Uru;0,7419
São Pedro;0,7414
Santa Adélia;0,7414
Sabino;0,7408
Arandu;0,7405
Jaborandi;0,7405
Estrela do Norte;0,7403
Alvinlândia;0,7402
Analândia;0,7396
Taquarivaí;0,739
Barrinha;0,7386
Lupércio;0,7385
Pedra Bela;0,7383
Rubiácea;0,7382
Conchas;0,7377
Tambaú;0,737
Presidente Alves;0,7369
Martinópolis;0,7366
Torrinha;0,7364
Sebastianópolis do Sul;0,7358
Engenheiro Coelho;0,7356
Dois Córregos;0,7355
Anhumas;0,7352
Viradouro;0,7351
Itapecerica da Serra;0,7351
Apiaí;0,735
Oscar Bressane;0,7347
Alumínio;0,7347
Itapura;0,7346
Avanhandava;0,7342
Vargem;0,7341
Ibirá;0,734
Bento de Abreu;0,7334
Vera Cruz;0,7332
Ipuã;0,7332
Rifaina;0,7332
Ribeirão Bonito;0,7324
Panorama;0,7322
Cajobi;0,7321
Cruzália;0,7319
Itaju;0,7318
Ribeirão Grande;0,7317
Lavínia;0,7317
Guaraçaí;0,7316
Sarapuí;0,7314
Rio Grande da Serra;0,7313
Santana da Ponte Pensa;0,7311
Timburi;0,7297
Mombuca;0,7292
Guarantã;0,7287
Capela do Alto;0,7287
Indiana;0,7283
Barbosa;0,7281
São Simão;0,7276
Manduri;0,727
Bofete;0,7266
São João do Pau-d'Alho;0,7265
Piraju;0,726
Águas de Santa Bárbara;0,726
Paulistânia;0,7257
Vitória Brasil;0,7245
Santa Ernestina;0,7245
Florínea;0,7243
Platina;0,7241
Bom Sucesso de Itararé;0,7237
Porangaba;0,7234
Areiópolis;0,7228
Cajati;0,7224
Taciba;0,7224
Caiabu;0,7218
Terra Roxa;0,7216
Arco-Íris;0,7209
Parapuã;0,7207
Turiúba;0,7202
Restinga;0,7201
Ribeira;0,7197
Macedônia;0,719
Valparaíso;0,7188
Taiaçu;0,7184
Três Fronteiras;0,7178
São Francisco;0,7173
Aguaí;0,7168
Gália;0,7165
Mirandópolis;0,7163
Populina;0,7159
Tuiuti;0,7153
Campina do Monte Alegre;0,7142
Paranapuã;0,714
Santo Antônio do Pinhal;0,7137
Pariquera-Açu;0,7135
Barra do Chapéu;0,7129
Itaoca;0,7129
Santa Cruz da Esperança;0,7125
Paraibuna;0,7115
Ipaussu;0,7107
Taiuva;0,7096
Cajuru;0,7095
Flórida Paulista;0,7094
Riolândia;0,7092
Iepê;0,709
Cardoso;0,7088
Floreal;0,7082
Itapirapuã Paulista;0,7081
Luiziânia;0,7077
Flora Rica;0,7074
Eldorado;0,7073
Rincão;0,7073
Aramina;0,7071
Itirapuã;0,7066
Rosana;0,7062
Redenção da Serra;0,706
Presidente Epitácio;0,7056
Quadra;0,7054
Santa Rita do Passa Quatro;0,7051
Lutécia;0,7032
Tapiraí;0,7029
Aparecida d'Oeste;0,7029
Alambari;0,7028
Dobrada;0,7027
Irapuru;0,7023
Serra Azul;0,7021
General Salgado;0,7013
Piratininga;0,7012
Pirangi;0,7007
Piquerobi;0,7006
Coroados;0,7001
Santa Mercedes;0,7001
Iacri;0,7
Coronel Macedo;0,6998
Itariri;0,6996
Canas;0,6992
Presidente Bernardes;0,699
Cafelândia;0,6989
Itobi;0,6988
Jeriquara;0,6985
Álvares Machado;0,6983
Maracaí;0,6972
Barão de Antonina;0,6967
Guaimbê;0,6962
Castilho;0,6961
Nova Canaã Paulista;0,696
Cunha;0,695
Sagres;0,6949
Poloni;0,6943
Duartina;0,6942
Salesópolis;0,6939
Magda;0,6934
Ferraz de Vasconcelos;0,6933
Oriente;0,6933
Itaporanga;0,6933
Piedade;0,693
Novais;0,6923
Barra do Turvo;0,6922
Nhandeara;0,6921
Iporanga;0,6914
Francisco Morato;0,691
Ribeirão Branco;0,6902
Caconde;0,6902
Tejupá;0,6897
Piquete;0,6893
Águas da Prata;0,6881
Palmeira d'Oeste;0,6875
Pedranópolis;0,6867
Miguelópolis;0,6848
Herculândia;0,6847
Dirce Reis;0,6846
Marinópolis;0,6844
Guarani d'Oeste;0,6843
Guapiara;0,6839
São José da Bela Vista;0,6823
Itaberá;0,6811
Ibiúna;0,681
Guzolândia;0,6806
Silveiras;0,6805
Lourdes;0,6799
João Ramalho;0,6798
Cerqueira César;0,6779
Itaquaquecetuba;0,677
Estiva Gerbi;0,6769
Sales;0,6766
Pedregulho;0,6765
Pontalinda;0,6759
Guará;0,6757
Salto Grande;0,675
Iguape;0,6747
Cananéia;0,6743
Iaras;0,673
Santo Expedito;0,6723
Pedro de Toledo;0,6718
São Luís do Paraitinga;0,6705
Euclides da Cunha Paulista;0,6697
Juquiá;0,6696
São Bento do Sapucaí;0,6694
Santa Rosa de Viterbo;0,6691
Riversul;0,669
Potim;0,6683
Miracatu;0,6681
Braúna;0,6678
Paulo de Faria;0,6671
Murutinga do Sul;0,667
Iperó;0,6661
Ribeirão dos Índios;0,6659
São João de Iracema;0,6657
Queluz;0,6656
Óleo;0,6652
Chavantes;0,6651
Nova Luzitânia;0,6644
Natividade da Serra;0,662
Pongaí;0,6615
Emilianópolis;0,6611
Bananal;0,6606
Ouro Verde;0,6603
Arapeí;0,6581
São José do Barreiro;0,6575
Biritiba-Mirim;0,6556
Tremembé;0,6555
Sete Barras;0,6548
Sarutaiá;0,6543
Igaraçu do Tietê;0,6527
Caiuá;0,651
Irapuã;0,6474
Palmares Paulista;0,6466
Mariápolis;0,6444
União Paulista;0,6436
Getulina;0,6427
Pirajuí;0,6423
Espírito Santo do Turvo;0,6414
Ibirarema;0,6412
Pacaembu;0,6407
Guaiçara;0,6387
Santo Anastácio;0,6377
Balbinos;0,6368
Areias;0,6362
Gastão Vidigal;0,6344
São João das Duas Pontes;0,6294
Lavrinhas;0,6286
Marabá Paulista;0,6264
Monte Aprazível;0,625
Salmourão;0,6164
Mesópolis;0,6104
Álvaro de Carvalho;0,6075
Nipoã;0,602
Reginópolis;0,6004
;
Lagoinha;0,5925
